handle	name	platform	category	grade	crypto_primary	how_to_read
@elonmusk	Elon Musk	x	political_marketmover	D	no	DOGE meme = contra/vol; trade confirmed product/balance-sheet events only
@realDonaldTrump	Donald Trump	x	political_marketmover	D/A-policy	no	trade the policy EVENT; fade token hype (insider distribution)
@saylor	Michael Saylor	x	institutional	D/B-corp	yes	perma-bull book; WATCH "may sell BTC to fund dividends" reversal
@CathieDWood	Cathie Wood	x	institutional	D/C-flow	no	ignore price targets; watch ARK daily trade files
@VitalikButerin	Vitalik Buterin	x	founder	D/B-protocol	yes	trust on what ETH builds; ignore when-it-ships / price
@justinsuntron	Justin Sun	x	founder	D/E	yes	adversarial pump-alert; verify every claim on-chain
@cz_binance	CZ (Changpeng Zhao)	x	founder	D/B-dealflow	yes	track YZi Labs deal-flow; legally barred from Binance ops
@gavofyork	Gavin Wood	x	founder	D/B-protocol	yes	DOT: do NOT average down; ecosystem data contradicts roadmap
@brian_armstrong	Brian Armstrong	x	founder	D/B-corp	yes	track policy/COIN events; fade adoption-TAM evangelism
@CryptoHayes	Arthur Hayes	x	macro_analyst	D	yes	macro-debasement frame yes; FADE his named alt picks (fund book)
@RaoulGMI	Raoul Pal	x	macro_analyst	D/C-frame	no	liquidity lens for context; ignore Banana-Zone / supercycle timing
@intocryptoverse	Benjamin Cowen	x	macro_analyst	C	yes	best risk-band/DCA hygiene; discount chronic alt-bear / ever-extending cycle
@woonomic	Willy Woo	x	macro_analyst	C	yes	on-chain CVDD floors as one lens; ignore cycle-top price targets
@100trillionUSD	PlanB	x	macro_analyst	E	yes	S2F falsified (~10x miss); social barometer only, never levels
@Pentosh1	Pentoshi	x	trader_influencer	D	yes	psychology/levels OK; fade calls; book on advised tokens ($ATX)
@blknoiz06	Ansem	x	trader_influencer	D	yes	HIGHEST shill risk; never buy his low-caps (you may be exit liquidity)
@BonnieBlockchain	Bonnie Blockchain	youtube	chinese_kol	D	yes	zh-Hant narrative thermometer; discount interview/business bias
@youtubercrypto	youtubercrypto	youtube	chinese_kol	D	yes	leverage short-term noise; ignore direction calls (violates spot-only guardrail)
UC7Nlwe4V_v3D7CGpQfdW7-A	久方武	youtube	chinese_kol	D	yes	assertive "prophet" predictions = contra / sentiment-extreme gauge
@JiangZhuoer	江卓爾 Jiang Zhuoer	x	chinese_kol	D	yes	BTC-first miner/cycle view; cross-ref @DU09BTC (overlapping cluster)
@ChandlerGuo	寶二爺 Chandler Guo	x	chinese_kol	E	yes	FOMO / 出貨 reverse-indicator; any endorsement = negative signal
@wangfeng_0128	王峰 Wang Feng	x	chinese_kol	D	yes	industry-narrative window (圈內在談什麼); verify, interest-bound
# REJECTED	趙東 Zhao Dong	x	chinese_kol	E	yes	7yr prison conviction (非法經營); no verified live handle — observe-only, not tracked
